CATEGORY,Column1,MRP,INVOICE RATE,SCHEME,AFTER SCHEME DEDCTION RATE,SEMI WS RATE5 (2%),RETAIL RATE(3%),RATE (5%)
,K79 HH Egg Cake Gift Pack 270g X 24 Car,180,1821.12,1,1821.12,1857.5424,1875.7536,1912.176
,K85 Happy Happy Egg Cake Van 30G x 120P,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,K86 Happy Happy Egg Cake TF 30g x 120p,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
,K89 Hpy Hpy Egg Cake Choc  27G x 120P,10,1011.74,1,1011.74,1031.9748,1042.0922,1062.327
CONFY,C358 Mazelo fruit gang 190g x 24P,50,988.15,1,988.15,1007.913,1017.7945,1037.5575
,C392 Kapi Candy 2.475 kg X 4J Tradeoffer,625,2058.62,1,2058.62,2099.7924,2120.3786,2161.551
,C408 Grand Londonderry 594+43.56g x 12J,150,1482.21,1.05,1411.628571,1439.861143,1453.977429,1482.21
,C409 Bigger Mango Bite 585+42.9g X 12J,150,1482.21,1.05,1411.628571,1439.861143,1453.977429,1482.21
,C416 Biger MangoBite 838.5+85.8gX15p WSK,215,2655.64,1,2655.64,2708.7528,2735.3092,2788.422
,C417 GR Londonderry 851.4+87.12gX15p WSK,215,2655.64,1.05,2529.180952,2579.764571,2605.056381,2655.64
,C423 Bigger Orange Bite 838.5+85.8g X15p,215,2655.64,1,2655.64,2708.7528,2735.3092,2788.422
,C426 Bigger Orange Bite 585+42.9g X 12J,150,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,C427 Bigger Kaccha MB 594+43.56g x 12J,150,1482.21,1.05,1411.628571,1439.861143,1453.977429,1482.21
,C428 Assorted Mazelo 594+43.56g X 12J,150,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,C430 Assorted Mazelo 198G X 48P,50,1976.29,1,1976.29,2015.8158,2035.5787,2075.1045
,C431 Bigger Kaccha Mango Bite 198g X 48P,50,1976.29,1.05,1882.180952,1919.824571,1938.646381,1976.29
,C432 Grand Londonderry 198g X 48 PB,50,1976.29,1.05,1882.180952,1919.824571,1938.646381,1976.29
,C433 Bigger Orange Bite 195g X 48 PB,50,1976.29,1,1976.29,2015.8158,2035.5787,2075.1045
,C434 Bigger Mango Bite 195g X 48 PB,50,1976.29,1.05,1882.180952,1919.824571,1938.646381,1976.29
,C437 Mazelo Fruit Gang 570g X 12J,150,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,C439 Poppins12.6g x 1000 Rolls(50 Rolls),2,1646.91,1,1646.91,1679.8482,1696.3173,1729.2555
,C445 Assorted Mazelo 3.168kg+316.8g X 2J,800,1317.51,1,1317.51,1343.8602,1357.0353,1383.3855
,C446 Bigger KMB 3.168kg+316.8g X 2 Jars,800,1317.51,1,1317.51,1343.8602,1357.0353,1383.3855
,C447 GR Londonderry 3.168kg+316.8gX2Jars,800,1317.51,1.05,1254.771429,1279.866857,1292.414571,1317.51
,C450 Bigger OrangeBite 3.120K+312G Frx2J,800,1317.51,1,1317.51,1343.8602,1357.0353,1383.3855
,C451 Bigger Mango Bite3.120Kg+312G Frx2J,800,1317.51,1,1317.51,1343.8602,1357.0353,1383.3855
,C454 Kaccha Mango Bite  260.38g X 36 PB,50,1521.91,1.05,1449.438095,1478.426857,1492.921238,1521.91
,C455 Londonderry  260.38g X 40 PB (WSK),50,1721.76,1.05,1639.771429,1672.566857,1688.964571,1721.76
,C456 Mango Bite 271.66g X 40 PB (WSK),50,1721.76,1,1721.76,1756.1952,1773.4128,1807.848
,C457 Orange Bite 271.66g X 40 PB (WSK),50,1691.01,1,1691.01,1724.8302,1741.7403,1775.5605
,C459 Kapi Candy 950.4g X 12J (w/o offer),240,2371.55,1,2371.55,2418.981,2442.6965,2490.1275
,C462 Poppins 100g X 36Pkts,30,1022.73,1,1022.73,1043.1846,1053.4119,1073.8665
,C464 Rola Cola 100g x 36P (144 Rolls),30,1022.73,1,1022.73,1043.1846,1053.4119,1073.8665
,C465 Poppins 25gX400 R (50Rolls Per Crt),5,1646.91,1,1646.91,1679.8482,1696.3173,1729.2555
,C466 Rola Cola 25gX400R(50Rolls Per Crt),5,1646.91,1,1646.91,1679.8482,1696.3173,1729.2555
,T282 Kismi Assorted  245.5g X 32 PB,50,1317.51,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,T400 Kismi Assorted 736.5+54.01g X 12J,150,1482.21,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,T402 Kismi Gold 736.5+54.01g X 12J,150,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,T403 Bigger Parle 2 IN 1 Ecl 637.56gX12J,150,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,T404 Kismi Elaichi Bar 12g x 960 BARS,2,1581.04,1,1581.04,1612.6608,1628.4712,1660.092
,T408 Melody Choco 586.5g X 12J,150,1517.6,1.05,1445.333333,1474.24,1488.693333,1517.6
,T409 Melody Choco 1.564k X 8J,400,2697.97,1.05,2569.495238,2620.885143,2646.580095,2697.97
,T410 Melody Choco 3.128Kg X 2J,800,1348.98,1.05,1284.742857,1310.437714,1323.285143,1348.98
,T417 Kismi Gold 3.928kg+392.8g X 2J,800,1317.51,1,1317.51,1343.8602,1357.0353,1383.3855
,T418 Kismi Gold 3.928kg X 2J Trade offer,800,0,1,0,0,0,0
,T419 Kismi Gold 1.964kg+157.12g X 6Jars,400,2272.72,1,2272.72,2318.1744,2340.9016,2386.356
,T422 Melody Chocolaty 175.95g X 48 PB,50,2023.47,1.05,1927.114286,1965.656571,1984.927714,2023.47
,T424 Melody Max Chocolaty 135.7g X 60 PB,50,2463.35,1.05,2346.047619,2392.968571,2416.429048,2463.35
,T425 Melody Max Chocolaty 271.4g X 32 PB,100,2627.58,1.05,2502.457143,2552.506286,2577.530857,2627.58
,T426 Parle 2 In 1 Eclairs 241.58g X 36PB,50,1521.91,1,1521.91,1552.3482,1567.5673,1598.0055
,T427 Kismi Toffee 276.36g X 40 PB,50,1721.76,1,1721.76,1756.1952,1773.4128,1807.848
,T429 Bigger Parle 2in1 Eclr 198gX48 PB,50,1976.29,1,1976.29,2015.8158,2035.5787,2075.1045
,T430 Cafechino 222.75 X 40P,50,1646.91,1,1646.91,1679.8482,1696.3173,1729.2555
,T432 Kismi Gold 245.5g X 36p,50,1482.21,1,1482.21,1511.8542,1526.6763,1556.3205
,T435 Bigger 2in1 Ec 3.168kg+316.8gX2J,800,1515.15,1,1515.15,1545.453,1560.6045,1590.9075
,T437 Bigger 2in1 Eclr 1.584Kg+126.72gX6J,400,1976.29,1,1976.29,2015.8158,2035.5787,2075.1045
,T75 Melody Choco 391g X 24 PB,100,2023.47,1.05,1927.114286,1965.656571,1984.927714,2023.47
FULLTOSS,N1494 FT  Masala Masti 100g X 60p,30,1243.44,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1495 FT Tangy Tomato 100g X 60p,30,1243.44,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1496 FT Noodle Masala 100g X 60p,30,1243.44,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1508 FT Masala Masti 35g X 168p,10,1266.01,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1509 FT Tangy Tomato 35g X 168p,10,1266.01,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1510 FT Noodle Masala 35g X 168p,10,1266.01,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1580 FT Masala Masti 15+3g X 225p,5,946.18,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1581 FT Tangy Tomato 15+3g X 225p,5,946.18,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1582 FT Noodle Masala 15+3g X 225p,5,946.18,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1583 FT Chilli Chatpata 15+3g X 225p,5,946.18,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1585 FT Chilli Chatpata 35g X 168p,10,1266.01,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
,N1586 FT Chilli Chatpata 100g X 60p,30,1243.44,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
